stationame,1,2,3,4,5,6,7,8,9,10,11,12
18th,43277,41681,26551,6527,6573,9857,15296,15460,16651,,,
35-Bronzeville-IIT,36516,37786,23374,5949,6342,6340,10067,11382,13658,,,
35th/Archer,68331,66315,41215,8871,9022,13281,20686,20566,21764,,,
43rd,22454,20977,15562,6364,5858,6778,9755,9001,9548,,,
47th-Dan Ryan,66586,62657,46681,19463,18962,22784,29285,29269,28328,,,
47th-South Elevated,23359,22362,16818,7111,6761,8155,11519,10996,10753,,,
51st,21230,20371,15471,6441,6011,7167,9815,9628,9553,,,
54th/Cermak,48660,46396,33130,11740,11818,16137,22653,22266,22566,,,
63rd-Dan Ryan,73542,69982,54608,25811,23588,24204,31448,30553,31217,,,
69th,108085,100860,78732,37755,33598,37879,49888,48674,48748,,,
79th,152734,143297,113536,54253,48032,52781,70990,68997,69923,,,
87th,89942,85060,65706,28960,25216,27920,39209,38032,39551,,,
95th/Dan Ryan,220731,210508,163646,78007,72624,81231,104663,102055,103930,,,
Adams/Wabash,161872,158048,91024,12952,15503,19329,28750,28689,34154,,,
Addison-Brown,61749,57708,31728,3928,4039,5960,8462,8833,9624,,,
Addison-North Main,160657,153185,86705,13265,13158,21230,31074,32557,36674,,,
Addison-O'Hare,68787,65034,38260,10219,10607,13019,16382,16260,16800,,,
Argyle,80180,73866,45547,12906,12377,12284,20654,21977,23757,,,
Armitage,105668,97982,51229,4917,5751,10549,15667,16701,18904,,,
Ashland-Lake,61892,59203,37358,10267,10130,13269,18105,18347,19322,,,
Ashland-Orange,37579,36045,24336,8545,8384,10526,16603,16330,16860,,,
Ashland/63rd,22477,21083,16692,8364,7808,9026,11356,11352,11571,,,
Austin-Forest Park,40945,39430,25295,7849,7943,9741,13328,13441,13486,,,
Austin-Lake,41722,39394,27325,10562,9887,12359,16380,16362,16785,,,
Belmont-North Main,297899,280448,156590,25322,27709,44733,62131,65373,71193,,,
Belmont-O'Hare,120947,115952,71978,16658,17243,24029,35474,36710,37450,,,
Berwyn,83323,88926,47808,15678,13646,16428,22874,29280,23932,,,
Bryn Mawr,108573,85777,64022,15324,16031,20660,26580,19696,31041,,,
California-Cermak,33555,31455,22036,7605,7273,9541,14335,14931,15216,,,
California-Lake,23779,22610,16567,6229,6406,7722,10912,11192,11249,,,
California/Milwaukee,139143,130536,72473,9229,9334,14418,21678,22897,25161,,,
Central Park,27434,26042,19118,7442,7177,8106,12651,12439,12372,,,
Central-Evanston,18559,17163,11707,4880,4472,5401,6865,6776,7125,,,
Central-Lake,47534,45758,35869,16901,15025,18339,24654,24099,23301,,,
Cermak-Chinatown,100141,94539,52929,11336,11621,16705,25631,26929,30193,,,
Cermak-McCormick Place,38838,43435,23686,6408,6864,8412,10937,11134,11734,,,
Chicago/Franklin,163741,153986,84590,13325,16077,26864,34791,34723,39664,,,
Chicago/Milwaukee,89413,86715,48385,6731,7015,10468,16996,17464,19213,,,
Chicago/State,337791,325154,175341,33038,29947,41483,74068,74428,83500,,,
Cicero-Cermak,27551,26141,19780,8685,9204,10843,16375,16719,16490,,,
Cicero-Forest Park,30694,28660,23450,11592,11071,12616,16191,16208,16525,,,
Cicero-Lake,29706,27481,22389,10698,10304,10687,13916,14104,14302,,,
Clark/Division,192215,181991,105278,24255,21391,32331,45509,45642,50243,,,
Clark/Lake,465028,430673,237096,27147,28898,47215,74343,69504,75839,,,
Clinton-Forest Park,87370,83361,46682,7122,6920,8684,12919,12561,14031,,,
Clinton-Lake,108097,102880,55419,8394,8786,13012,18938,18679,20571,,,
Conservatory,23791,23045,17560,9051,8970,9261,12764,11967,13185,,,
Cumberland,93864,88180,53882,12520,12500,15956,21671,22027,22058,,,
Damen-Brown,69350,65074,34921,4616,5057,7953,11407,11550,13288,,,
Damen-Cermak,36847,35663,22675,5497,6224,8149,12578,13066,13659,,,
Damen/Milwaukee,156555,147301,79122,9278,9719,16476,26718,28065,31310,,,
Davis,88595,82532,47394,11949,12703,16623,22298,23182,23878,,,
Dempster,19974,19267,11947,3470,3393,4196,5444,5799,6370,,,
Dempster-Skokie,38961,36810,22324,6188,6267,8012,10979,11455,11681,,,
Diversey,140755,129868,69915,9559,10332,16623,24039,24457,27130,,,
Division/Milwaukee,138860,132326,73460,10222,10673,16623,26936,28481,29981,,,
East 63rd-Cottage Grove,22713,21440,16111,7008,6585,7571,10314,9975,9638,,,
Forest Park,70232,65843,47598,19223,19015,21602,26929,26828,28287,,,
Foster,19330,19369,10526,2000,2224,2675,3730,3935,4346,,,
Francisco,39881,37846,20950,3295,3582,5946,8379,8820,8528,,,
Fullerton,334762,323742,171634,18517,19512,28823,42251,46044,55758,,,
Garfield-Dan Ryan,72027,69045,50529,21755,19980,21113,29199,28798,29458,,,
Garfield-South Elevated,24496,23821,16987,6677,6606,8109,10646,10492,10399,,,
Grand/Milwaukee,65620,62086,34989,4596,5715,9328,15564,15696,16331,,,
Grand/State,276517,248500,135884,17483,15733,24947,49719,48657,53746,,,
Granville,91169,74215,52394,12646,13268,16943,21015,16661,27293,,,
Halsted-Orange,60833,60803,35935,7571,7535,10494,15430,16289,16532,,,
Halsted/63rd,11666,11444,8581,3763,3833,4352,6133,5856,5847,,,
Harlem-Forest Park,25457,23218,17231,7570,7299,8539,10997,11566,11454,,,
Harlem-Lake,86701,82261,54872,20675,21404,26019,32839,34137,35227,,,
Harlem-O'Hare,64749,61056,39016,9746,9937,13659,19521,19699,21054,,,
Harrison,84926,97673,50773,5771,5607,8480,13875,14476,21000,,,
Howard,128557,122584,87230,35999,36838,41622,53010,52050,52676,,,
Indiana,17302,16118,11829,4799,4440,5048,7157,6926,7350,,,
Irving Park-Brown,77948,73033,38083,5001,5251,8576,12543,12402,13594,,,
Irving Park-O'Hare,101293,96431,62098,14695,14807,20291,31270,32749,33435,,,
Jackson/Dearborn,160050,157654,90558,16261,15763,16058,26728,26542,30190,,,
Jackson/State,216696,215040,112681,17245,15725,17805,27825,27477,32333,,,
Jarvis,38071,36430,24026,8299,7827,8730,12581,13237,13441,,,
Jefferson Park,155947,147287,99033,30409,30783,39632,54580,55404,57336,,,
Kedzie-Brown,49166,46841,29131,6870,7746,11632,17269,17367,16925,,,
Kedzie-Cermak,23322,22574,16256,6309,5623,7146,11223,11479,11873,,,
Kedzie-Homan-Forest Park,46740,42740,33041,15657,13968,14702,20534,19934,20479,,,
Kedzie-Lake,33652,32788,25144,10796,9942,11222,14350,13584,13651,,,
Kedzie-Midway,78621,76623,51768,14410,14096,19857,31334,31334,31762,,,
Kimball,97428,92689,59221,14617,15993,23995,34096,34073,33617,,,
King Drive,10218,9900,8029,4006,3903,4526,6591,5903,6050,,,
Kostner,11024,10096,7882,3726,3269,3871,5273,5097,5175,,,
Lake/State,497387,473688,257227,40085,38700,54981,89965,87102,96965,,,
Laramie,25587,24351,19164,9190,8248,9717,12776,12936,12639,,,
LaSalle,65377,68314,37563,4985,5684,8281,11682,11894,14614,,,
LaSalle/Van Buren,72725,68039,37744,5017,5068,7804,10579,10044,11119,,,
Lawrence,76276,69636,43604,10893,10390,9868,18356,20182,22020,,,
Library,84628,88959,51178,10072,10208,13344,19390,19006,22370,,,
Linden,20703,18415,10295,2599,3040,4122,5325,5231,5277,,,
Logan Square,176809,167568,94186,14017,14686,22312,35193,36428,38743,,,
Loyola,134143,144961,71224,18076,17563,20971,32058,37622,39323,,,
Main,27992,26607,14759,3409,4337,5605,7264,7573,7939,,,
Medical Center,64736,61273,40417,11821,11445,13399,18696,19612,20716,,,
Merchandise Mart,190468,171971,86214,4409,4892,10427,18772,18297,21116,,,
Midway Airport,178760,169824,107189,25571,26570,38047,54763,53515,56113,,,
Monroe/Dearborn,182591,173015,91844,9410,9357,14906,20627,19750,23151,,,
Monroe/State,224152,212247,113818,14302,13366,19931,29850,28190,32786,,,
Montrose-Brown,66687,61710,34430,5175,5961,8412,11820,12088,13474,,,
Montrose-O'Hare,59831,55427,35012,7118,6651,8170,11190,11086,11126,,,
Morgan-Lake,94261,92987,49393,6913,7278,12513,20523,20785,22812,,,
Morse,111598,105012,66916,19319,19906,25106,33990,35303,36838,,,
North/Clybourn,145750,134117,76244,14797,14186,19927,32082,32410,36108,,,
Noyes,23072,22267,11247,1561,1592,2491,3432,3665,4334,,,
O'Hare Airport,268526,247905,181494,54198,49756,58044,82976,85893,86471,,,
Oak Park-Forest Park,39194,37130,21727,4012,3916,5100,6993,6876,7517,,,
Oak Park-Lake,35280,33071,18650,3058,3404,4973,7340,7724,7632,,,
Oakton-Skokie,21068,20604,12747,3539,3708,4366,5729,5807,6198,,,
Paulina,70882,66753,36099,5539,5754,8833,12569,13045,14436,,,
Polk,74002,70665,42616,10516,10953,16101,24082,24416,27939,,,
Pulaski-Cermak,26017,24015,18354,8322,8069,9457,13984,13888,14215,,,
Pulaski-Forest Park,45528,44938,39314,20793,19038,21298,27555,26770,26960,,,
Pulaski-Lake,32776,30788,24846,13554,12930,14403,19056,18147,17497,,,
Pulaski-Orange,116895,112647,71366,15251,15219,24175,37789,37864,38542,,,
Quincy/Wells,188175,172777,92931,8685,8306,12346,19575,18279,20969,,,
Racine,51256,50286,28621,4670,4471,5766,8648,8732,9098,,,
Ridgeland,30796,28555,16173,3534,3358,4650,6155,6014,6177,,,
Rockwell,44304,42153,22784,3078,3508,5466,7745,7169,7551,,,
Roosevelt,254709,258139,159006,48310,45403,58055,83239,80702,86628,,,
Rosemont,137653,130137,83640,25140,26603,32395,45831,48107,47060,,,
Sedgwick,91249,85241,48143,8530,8766,12557,17935,17799,19742,,,
Sheridan,121548,113788,63896,11391,11372,17116,24082,25631,28629,,,
South Boulevard,19271,17773,11186,3311,3404,4213,5416,5442,5557,,,
Southport,89854,81696,41875,3598,4165,8161,11898,13047,14033,,,
Sox-35th-Dan Ryan,93905,91138,58436,15866,15508,17341,26151,26926,29446,,,
State/Lake,288030,271983,155750,23124,26122,36722,64469,62050,67083,,,
Thorndale,70083,56735,41314,9297,10464,13646,17661,12906,20014,,,
UIC-Halsted,142167,161307,81111,8246,8779,11033,15370,18699,22753,,,
Washington/Dearborn,323728,306383,167749,19415,19216,33606,54848,52339,58507,,,
Washington/Wabash,238477,219507,134533,22424,24988,43613,67871,64591,71688,,,
Washington/Wells,192483,180190,96106,11663,12193,19202,27755,26134,28660,,,
Wellington,76227,71200,38827,5755,6601,9101,12881,13056,15024,,,
Western-Brown,99691,93234,54651,10623,10969,16818,24485,24713,27986,,,
Western-Cermak,26797,24939,17946,6901,6675,8575,12218,12511,12643,,,
Western-Forest Park,38888,37969,25589,8067,7859,9861,12582,12920,13141,,,
Western-Orange,86043,82699,55574,15860,15968,21972,33186,32199,33425,,,
Western/Milwaukee,135775,127903,70061,9195,9772,16332,22927,24503,25602,,,
Wilson,164547,160924,104568,30655,31644,45526,53443,54038,55338,,,
